Address_A,Port_A,Address_B,Port_B,Total_Packets,Total_Bytes,Packets_Forward,Bytes_Forward,Packets_Backward,Bytes_Backward,Rel_Start,Duration,Bits/s_Forward,Bits/s_Backward
192.168.50.54,51094,192.168.50.88,53,2,412,1,83,1,329,459759.5231,0.019813,33513.34983,132842.0734
192.168.50.88,33028,8.8.4.4,53,2,289,1,126,1,163,373334.6155,0.011751,85779.93353,110969.2791
192.168.50.88,41348,8.8.8.8,53,1,59,1,59,0,0,499098.2169,0,0,0
fe80::891f:ff8f:8660:beff,65015,ff02::1:3,5355,1,91,1,91,0,0,554314.6593,0,0,0
192.168.50.88,49410,8.8.4.4,53,5,1191,3,264,2,927,476764.6815,2654367.027,0.00079567,0.002793886
192.168.50.88,46125,8.8.4.4,53,5,366,5,366,0,0,19798.64411,178454.6242,0.016407532,0
192.168.50.88,36291,8.8.4.4,53,2,883,1,81,1,802,409620.4999,0.011592,55900.62128,553485.1638
192.168.50.63,62335,192.168.50.88,53,2,440,1,89,1,351,432246.3518,0.017078,41691.06452,164422.0634
192.168.50.67,62599,224.0.0.252,5355,2,128,2,128,0,0,4129.223975,0.1027,9970.788705,0
192.168.50.88,60366,8.8.4.4,53,1,70,1,70,0,0,494335.5428,0,0,0
192.168.50.19,64462,192.168.50.88,53,2,391,1,73,1,318,530849.6207,0.000323,0,0
192.168.50.88,49572,8.8.4.4,53,2,265,1,106,1,159,372965.8242,0.031874,26604.75625,39907.13437
192.168.50.15,57788,192.168.50.88,53,2,236,1,76,1,160,478922.068,0.000236,0,0
192.168.50.88,51915,8.8.4.4,53,2,200,1,86,1,114,435642.1221,0.012221,56296.53882,74625.64449
192.168.50.88,43994,8.8.4.4,53,1,88,1,88,0,0,443788.8616,0,0,0
192.168.50.88,40582,8.8.8.8,53,1,78,1,78,0,0,141712.0405,0,0,0
192.168.50.88,34593,8.8.4.4,53,1,89,1,89,0,0,219316.978,0,0,0
192.168.50.88,57865,8.8.8.8,53,6,2070,3,288,3,1782,553683.1973,2416840.068,0.000953311,0.005898611
192.168.50.15,52263,192.168.50.88,53,4,472,2,152,2,320,177417.819,2468700.127,0.000492567,0.001036983
192.168.50.14,53523,192.168.50.88,53,2,168,1,84,1,84,453784.9905,10.000529,67.19644531,67.19644531
fe80::e14d:8fc5:b840:50b8,49318,ff02::1:3,5355,2,172,2,172,0,0,192.255996,0.1087,12658.69365,0
192.168.50.88,55493,8.8.4.4,53,3,281,2,180,1,101,278284.1856,3095324.064,0.000465218,0.000261039
192.168.50.54,56211,239.255.255.250,1900,4,860,4,860,0,0,449658.5867,2.999413,2293.78215,0
192.168.50.14,60905,224.0.0.252,5355,2,128,2,128,0,0,507863.9031,0.097454,10507.5215,0
fe80::e40e:a6ad:3c4d:d40d,57311,ff02::c,3702,8,8400,8,8400,0,0,1283.651401,10.182031,6599.862051,0
192.168.50.14,50956,224.0.0.252,5355,2,128,2,128,0,0,315168.7615,0.09439,10848.60684,0
192.168.50.52,49203,192.168.50.88,53,2,431,1,94,1,337,502535.3085,0.016241,46302.56748,165999.6302
192.168.50.16,51053,192.168.50.88,53,4,484,2,158,2,326,472277.4636,1867801.721,0.000676731,0.001396294
192.168.50.18,52757,192.168.50.88,53,6,732,3,240,3,492,146565.0186,2659296.552,0.000721995,0.001480091
192.168.50.88,60799,8.8.4.4,53,2,860,1,77,1,783,422636.6228,0.032264,19092.48699,194148.2768
192.168.50.50,54641,192.168.50.88,53,2,443,1,68,1,375,371892.3522,0.017177,31670.25674,174652.1511
192.168.50.101,34644,192.168.50.88,53,4,324,2,162,2,162,391195.5918,10.004932,129.5361128,129.5361128
192.168.50.88,38633,8.8.4.4,53,1,70,1,70,0,0,241573.7731,0,0,0
fe80::d58e:a29a:c48:dd8f,55646,ff02::1:3,5355,2,182,2,182,0,0,490906.541,0.105298,13827.42313,0
192.168.50.88,42583,8.8.8.8,53,1,78,1,78,0,0,371553.1716,0,0,0
192.168.50.54,62593,192.168.50.88,53,2,373,1,73,1,300,61423.11178,0.04575,12765.02732,52459.0164
192.168.50.88,53656,8.8.4.4,53,2,891,1,86,1,805,60604.65321,0.012173,56518.52462,529039.6782
192.168.50.88,55067,8.8.8.8,53,3,938,2,151,1,787,170589.6536,1345223.711,0.000897992,0.004680262
